chang'xiao 长效
sheng'qu 省区
zheng'de 征地
shi'di 湿地
peng'hu'qu 棚户区
jing'he 经合
he'dian 核电
qu'wei 区委
zhong'liang 种粮
fu'ken 复垦
du'cha 督查
a'meng 阿盟
shi'xian 市县
diao'chu 调处
ku'qu 库区
zu'zhi'bu'zhang 组织部长
qu'nian'di 去年底
qu'wei 区位
kai'hang 开行
sheng'zhi 省直
gong'xian'lv 贡献率
zhu'chan'qu 主产区
che'zu 车组
xuan'chuan'bu'zhang 宣传部长
bu'jie 不竭
mao'yi'qu 贸易区
she'nong 涉农
liang'jia 粮价
zong'zhi 综治
wu'xu 无需
yuan'zang 援藏
zhong'gong 重工
zong'zhi'wei 综治委
ge'qu 各区
chu'li'chang 处理厂
cang'pin 藏品
zhai'ji'di 宅基地
sheng'li 省里
yu'zhong 育种
tai'zhang 台账
yao'jia 药价
zuo'luo 坐落
zi'xing 自省
zuo'zhe'xi 作者系
shi'zhi 市直
yi'zhi 以至
wu'gong'hai 无公害
jin'er 劲儿
qu'zhang 区长
zhong'zheng 重症
ze'ren'ren'yuan 责任人员
shu'shi'wan 数十万
han'qu 旱区
hui'zhi 会址
ji'zhong'du 集中度
qi'cheng 脐橙
yi'qi 以期
chu'qin 畜禽
shu'zhong 树种
jie'min'you 解民忧
yi'yi'guan'zhi 一以贯之
lu'shang 陆上
shui'jia 水价
zhong'xiao'xue'xiao 中小学校
yi'shu 一数
zhong'te'da 重特大
xin'xi'yuan 信息员
zhong'shu 种树
zi'ji 自给
si'chuan'wen 四川汶
ta'jia 她家
jie'zhong 接种
shi'mo'hua 石漠化
yi'cun'du 依存度
man'yi'lv 满意率
ju'zhu'di 居住地
zhong'yang 种养
xiang'mu'qu 项目区
guo'yi'hui 国议会
de'yue'ke'wei'qi 德约科维奇
qiao'pai 壳牌
ji'jia 计价
shi'zhen 市镇
lian'wei'hui 联委会
shen'yi 申遗
ji'xu 亟需
sai'hui 赛会
sui'xing 遂行
jiang'hao 降耗
jiang'xue 降雪
ji'xu 亟须
mu'huan'cao 牧还草
shu'yi 数亿
ying'qu 营区
tong'tai 同台
wu'yun'qi 乌云其
ju'ju'qu 聚居区
gai'qu 该区
ling'dao'ren'yuan 领导人员
gai'sheng 该省
qu'ji 区级
chong'gou 重构
na'zha'er'ba'ye'fu 纳扎尔巴耶夫
quan'wei'hui 全委会
ka'er'zha'yi 卡尔扎伊
ken'tan'hui 恳谈会
luo'fu'he 罗富和
ding'wan 丁湾
guo'he 国合
nei'ta'ni'ya'hu 内塔尼亚胡
chu'li'lv 处理率
yu'jue'min 俞觉敏
liu'ru'di 流入地
tai'ban 台办
sheng'qing 省情
shi'li'ying 石利颖
cheng'bao'di 承包地
yue'du 月度
di'kou 抵扣
qiang'xian 强县
ji'hua'dan'lie'shi 计划单列市
xingshi'jie'jiao 刑释解教
xiao'ji 校际
zhuan'hua'lv 转化率
chu'e 除恶
wen'bo'hui 文博会
wen'dai'hui 文代会
shei'zhi 谁知
gai'zhong 改种
lun'zheng'hui 论证会
zang'yu 藏语
ge'pai 各派
chang'wu 厂务
biao'yan'yi'shu'jia 表演艺术家
di'si'shi'liu 第四十六
jing'zhong 警种
nai'jia 哪家
shu'qian'wan 数千万
xiao'zu'zhang 小组长
shui'jiao 水窖
liu'wu 六五
guan'lian'du 关联度
zhong'cao 种草
tong'huo'peng'zhang'lv 通货膨胀率
jia'li'le 贾利勒
qian'suan 铅酸
xiao'fang 校方
lian'xi'ka 联系卡
tai'meng 台盟
zha'wei'si 查韦斯
zong'zhi'ban 综治办
shu'ji 数几
wu'he'wu'qi 无核武器
zuo'dai'hui 作代会
bo'hui 博会
jin'sui 晋绥
bo'nan'ke 伯南克
shi'shu 市属
yuan'di 源地
ti'du 梯度
ling'jiang'tai 领奖台
di'mo 地膜
mi'su'la'ta 米苏拉塔
can'yuan 参院
ze'ren'qu 责任区
zhong'miao 种苗
zhi'dui'zhang 支队长
cao'chu 草畜
song'ji'hui 宋基会
ya'hang 亚行
pa'nei'ta 帕内塔
ji'shui 给水
du'chu 读出
tang'qia 唐卡
duo'guan'qi'xia 多管齐下
bu'du 不独
chan'chu'lv 产出率
ming'sheng'qu 名胜区
di'biao 地标
nong'qu 农区
zhong'hua'gong 重化工
da'zhan 大展
qiong'qin 穷亲
jia'kang 贾康
ya'nu'ke'wei'qi 亚努科维奇
jiao'di 浇地
zhi'dao'jia 指导价
xi'bo'hui 西博会
ru'meng 入盟
yi'chuan 一传
yi'fang 以方
nei'zheng'bu'zhang 内政部长
du'shu'hui 读书会
nong'yong'di 农用地
yun'shu'che 运输车
guan'yuan 馆员
wu'hui 无悔
lu'ya'nan 陆娅楠
mi'biao 咪表
xiong'bing'qi 熊丙奇
tiao'jian 调减
kou'jiao 扣缴
zi'le 自乐
nan'si'hu 南四湖
ku'bu'qi 库布其
shang'sheng'qi 上升期
kuang'zhang 矿长
shu'yi 数一
xia'pai 下派
yi'da 医大
hu'lian'wang'luo 互联网络
sha'shi 砂石
chuan'zang'xian 川藏线
hui'ruo'qi 惠若琪
fa'ta'he 法塔赫
he'wei'bo 和微博
shan'nan 陕南
jin'chang'bo 金昶伯
zhen'qu 震区
ya'li'sang'na 亚利桑那
jie'di 节地
bao'bao'de 薄薄的
diao'yan'yuan 调研员
can'jian 参建
hao'wan'zhong 郝万忠
ao'hui 奥会
bo'wei 柏威
qian'yun'hui 钱云会
dong'mai'qu 冬麦区
zhao'shi'shu 赵世术
qiu'duo'fu 仇多馥
chu'xu'lv 储蓄率
qiang'ji 强基
zheng'jiao 征缴
zi'chao 自嘲
bu'dan 不单
hui'shou'lv 回收率
yuan'e 员额
shan'shi 山石
ji'chang'qiu 纪长秋
chang'zhang 场长
tao'shu 套数
cuo'luo 错落
yuan'zhang 园长
xian'zhong 险种
li'shi 立市
fei'di 飞抵
lu'gui'shan 陆贵山
shi'hang 世行
ju'ban'di 举办地
ka'tu'mu 喀土穆
jian'mian'hui 见面会
fa'sheng'di 发生地
lu'yu 陆域
lao'fu'qin 老父亲
zhi'xiao 治校
shui'jiao'di 水浇地
li'tuo 力拓
jiao'cun 缴存
lv'dang 绿党
tao'zhong 套种
ju'ju'di 聚居地
ye'ru'ling 叶如陵
yuancheng'jia 袁诚家
ding'lai'fu 丁来富
zhi'ge 制革
liu'xun 六旬
chong'zai 重载
suo'nan 索南
qi'xi'di 栖息地
che'gai 车改
pei'chun'liang 裴春亮
ji'nian'di 纪念地
quan'he 劝和
jing'bei'qu 警备区
gei'yi 给以
qu'dang'wei 区党委
wen'mang'lv 文盲率
xi'jing 蹊径
he'tan'di 河滩地
liu'cui'hong 刘粹红
zeng'shou'ying 曾寿瀛
qi'si 其四
