nei'rong,6636 内容,6636;
ban'xing,7 颁行,7;
ruo'guo,10 弱国,10;
mo'genshidanli,14 摩根士丹利,14;
yan'xing,210 严刑,29;言行,181;
qinglie,8 清冽,8;
guan'wang,139 观望,139;
damin,7 达敏,7;
muhe,7 木盒,7;
qiang'jing,814 强劲,814;
jing'ying,6136 晶莹,41;精英,340;经营,5755;
huang'mang,13 慌忙,13;
li'zhong'zhu,6 李种珠,6;
wai'wen,36 外文,36;
pengzhaozhi,5 彭昭之,5;
kuo'san,375 扩散,375;
you'gong'si,27 油公司,27;
yun'zhi,17 韵致,17;
gan'bu,19205 干部,19205;
wai'wei,126 外围,126;
mu'guangzong,5 穆光宗,5;
gui'su,104 归宿,104;
zai'hun,12 再婚,12;
xiao'guan,5 校官,5;
zai'huo,7 灾祸,7;
surong,7 苏蓉,7;
da'mian'ji,240 大面积,240;
hua'yuan'shi,18 花园式,18;
gan'ba,7 干巴,7;
chuan'yue,446 传阅,10;穿越,436;
li'nan,57 罹难,21;李楠,36;
song'ren'ting'wen,11 耸人听闻,11;
duo'mi'ni'jiadui,14 多米尼加队,14;
le'du'xian,21 乐都县,21;
bu'jiao'bu'zao,11 不骄不躁,11;
e'yu'wan,63 鄂豫皖,63;
xu'fuquan,5 徐福全,5;
chen'yaoye,10 陈耀烨,10;
lv'huadui,8 绿化队,8;
gai'chao'huan'dai,10 改朝换代,10;
pan'ni,20 叛逆,20;
wang'xi'zhi,14 王羲之,14;
pi'xie,50 皮鞋,50;
li'guochu,16 李国楚,16;
cui'shi'an,13 崔世安,13;
xia'shu,295 下属,295;
you'xiujiang,14 优秀奖,14;
kan'lai,1543 看来,1543;
gao'lin,12 郜林,12;
bu'ke'kai'jiao,26 不可开交,26;
yinhanning,8 尹汉宁,8;
ci'ji'xing,21 刺激性,21;
renerdong,8 任尔东,8;
pingcuo,43 平措,43;
shang'jiao'suo,8 上交所,8;
he'chengming,10 贺成明,10;
xia'shi,12 下士,12;
yang'baokui,7 杨宝奎,7;
muji,12 木吉,12;
sanbei,40 三北,40;
xia'she,93 下设,93;
gan'ai,150 肝癌,150;
zhan'tie,28 粘贴,28;
ling'jiang'tai,54 领奖台,54;
niu'yang'ge,23 扭秧歌,23;
zhuanyong,10 转用,10;
bu'liang,874 不良,874;
fei'li'xing,93 非理性,93;
huo'dong'jia,29 活动家,29;
fan'sheng,31 繁盛,31;
ran'zhi,13 染指,13;
zheng'ben'qing'yuan,14 正本清源,14;
zou'ren,36 走人,36;
cui'hui,150 摧毁,150;
ke'ji'jie,55 科技界,55;
cui'hua,51 催化,51;
chen'feng'xiang,8 陈凤翔,8;
chu'long,19 出笼,19;
da'bao'bu'ping,6 打抱不平,6;
ke'cao'zuo'xing,193 可操作性,193;
gui'tu,8 归途,8;
fang'song,556 放松,556;
xunfeng'qi,6 荀凤栖,6;
tian'jiao,5 天骄,5;
tian'jian,472 田间,472;
shou'tui'che,8 手推车,8;
shan'jiao,25 山脚,25;
shan'jian,87 山间,69;删减,10;山涧,8;
zi'zhuan,21 自转,8;自传,13;
lin'yu'tang,9 林语堂,9;
hun'hun'yu'shui,6 昏昏欲睡,6;
zhou'tianwei,20 周天伟,20;
gan'ge,10 干戈,10;
bao'jing'qi,14 报警器,14;
gan'shizhe,15 干事者,15;
zhong'hua'min'guo,100 中华民国,100;
mudi,114 穆迪,114;
ji'yu'qiu'cheng,40 急于求成,40;
liu'dong'sheng,14 刘东升,14;
hang'chuan,55 航船,55;
du'qian,6 赌钱,6;
long'quan,43 龙泉,43;
