'g'zh'w'y gao'zhen'wu'you,4
shei'l shei'liao,3
w'wu'sheng wai'wu'sheng,5
shei'j shei'jia,5
a'qiu'sh an'qiu'shi,3
di'yi'b'l'si di'yi'bai'ling'si,3
zhan'l'jun zhan'ling'jun,3
ha'l'lei ha'la'lei,4
chuang'bo'l chuang'bo'li,3
'f't'x'ch fei'tong'xun'chang,5
w'bu'l wen'bu'li,3
fan'l'pei fan'long'pei,5
t'zi'guo tou'zi'guo,4
b'yuan'hua bian'yuan'hua,5
huo'yi'm huo'yi'miao,3
hen'x hen'xin,3
j'n'x jin'ning'xian,3;ji'neng'xing,5;jiang'nan'xiang,3;jia'nu'xi,3;jing'ning'xian,3;ji'nian'xing,3;ju'nan'xian,3
j'n'w ji'nian'wu,3;jing'nei'wai,6
kuang'q'sh kuang'quan'shui,6
jin'chang'b jin'chang'bo,4
ting'ju'j ting'ju'ji,4
zhong'j'qin zhong'jian'qin,3
zhe'x'bu zhe'xiu'bu,3
yi'si'b'gou yi'si'bu'gou,5
wu'zhong'sh'y wu'zhong'sheng'you,4
lv'ming'y lv'ming'yu,3
g'j'j'wei guo'jia'jiao'wei,3;guo'jia'ji'wei,4
fan'y'qi fan'ying'qi,3
w'bu'x wai'bu'xing,3
g'kui guan'kui,3;gang'kui,3
j'lie ju'lie,6;jun'lie,4;jue'lie,4;jin'lie,3;jia'lie,4;ji'lie,8
yao'jing'y yao'jing'yuan,4
yin'd yin'du,14;yin'diao,4;yin'de,5;yin'dao,9
yin'c yin'ci,10;yin'cang,6
yin'b yin'bi,6;yin'bao,5;yin'bai,3;yin'bei,3
d'fu'zhuang ding'fu'zhuang,3
yin'a yin'an,4
yin'h yin'hua,3;yin'he,5;yin'hong,4;yin'hui,10;yin'huang,4;yin'hang,13;yin'han,5;yin'hen,3;yin'huan,8
yin'g yin'gu,4;yin'gou,3;yin'guo,5;yin'gen,4;yin'guang,3
yin'f yin'fu,8;yin'fa,19;yin'fang,5
yin'e yin'er,7
yuan'hui'q yuan'hui'qin,3
'j'sh'k'x jun'shi'ke'xue,5
qian'xie't qian'xie'tian,4
j'liu ju'liu,10;jie'liu,13;jing'liu,4;jiang'liu,3;ji'liu,12;jiao'liu,10
qu'zhen'y qu'zhen'yuan,3
mi'w'm mi'weng'mu,3
f'y'xing fang'yu'xing,5
b'wei'zh'yi ben'wei'zhu'yi,3
gu'zhu'y'zhi gu'zhu'yi'zhi,3
l'hao'ren lao'hao'ren,4
j'lin jiang'lin,6;jin'lin,10;ji'lin,8
y'w'sheng yang'wen'sheng,3
s'shi'lun song'shi'lun,4
f fu,400;fen,128;fan,146;fei,154;fou,1;feng,124;fang,126;fa,80
g ga,33;gua,49;guai,22;gong,154;guang,29;gou,110;gui,130;gai,61;ge,137;guan,126;gu,197;gang,85;gun,26;guo,90;gen,31;gao,93;gan,144;geng,66
d duan,63;deng,69;dong,93;dao,126;de,13;dang,69;dan,124;dia,2;diao,58;dian,144;ding,81;di,173;dou,64;dui,46;du,133;die,65;duo,93;dai,119;diu,9;dun,38;da,65
j'long'y jin'long'yu,3
e en,12;ei,1;e,139;er,78
liao'ch'shi liao'cheng'shi,4
b bin,74;ben,39;biao,65;bing,98;ba,105;bei,142;bo,145;bi,233;bie,26;beng,38;bao,127;bian,119;bu,85;bang,79;ban,141;bai,57
zh'ti'guan zhu'ti'guan,5
p'tan pai'tan,4;ping'tan,21;pian'tan,8;pan'tan,5
p'tao pan'tao,4;pu'tao,6;pei'tao,9
c cao,47;ceng,15;cun,38;cang,31;cen,6;cui,79;can,62;cuan,17;cu,44;ce,36;cai,101;ca,14;ci,110;cou,10;cong,63;cuo,57
g'nian'x gai'nian'xing,3
'j'm'e'y jian'ming'e'yao,4
a ao,81;an,112;ang,21;a,4;ai,107
n niao,10;na,33;ni,111;nuan,10;nan,41;nang,15;nen,8;ne,5;nue,5;nuo,31;nai,44;ning,53;neng,13;nie,47;niang,17;niu,41;nong,34;nin,6;nu,36;nou,1;nei,17;nian,64;nao,41;nv,15
luo'l'qu luo'long'qu,3
wei'hu'sh wei'hu'shan,3
o o,2;ou,67
l lv,109;liang,108;lou,61;lie,68;liu,106;lun,52;li,403;la,54;leng,21;liao,97;ling,163;luo,99;long,93;lian,152;lue,19;luan,48;lang,74;lu,182;lei,91;le,5;lai,70;lin,138;lao,75;lan,136
j'long'p ji'long'po,5
m men,44;ma,84;miao,83;mie,21;ming,81;me,12;mao,134;mo,139;mu,151;min,73;mian,86;miu,6;mou,29;meng,83;mang,40;mei,160;m,1;mai,48;mi,110;man,81
p'tai pao'tai,4;pi'tai,4;ping'tai,9;pei'tai,5
j ji,610;jie,248;ju,270;jun,77;jian,381;jin,188;jiang,123;juan,69;jue,119;jia,148;jiao,206;jing,270;jiong,21;jiu,168
k kong,48;ka,2;kuo,38;kua,32;kui,110;kai,56;kan,71;ke,177;kun,54;kuang,78;kao,46;keng,14;ku,68;kuai,34;ken,31;kang,52;kuan,25;kou,44
h huo,103;he,130;huang,132;hun,40;hao,114;han,187;hang,26;hu,202;huan,136;hai,55;hui,213;hei,10;hen,34;huai,40;ha,10;hong,78;hua,98;hou,74;heng,38
w wu,290;wang,112;wai,20;wan,134;wo,84;wa,57;wen,106;weng,23;wei,364
fu'ming'x fu'ming'xia,3
zhang'y'qin zhang'ya'qin,8
liu'z'y liu'zun'yi,3;liu'zong'yuan,4
t tuo,100;tuan,20;tun,21;te,20;tui,44;tang,99;tou,46;tu,110;tai,87;tie,31;tan,148;ta,91;teng,34;tao,89;tong,130;ting,104;tian,72;ti,117;tiao,58
j'cun'y jing'cun'ya,3
liu'z'w liu'zu'wu,3
huo'd'jia huo'dong'jia,4
s seng,8;sen,10;se,25;sao,33;san,32;sou,36;sui,107;sun,42;suan,27;si,153;suo,70;su,118;sa,38;sai,18;sang,27;song,97
g'nian'h gai'nian'hua,4
't'ch'd'j tian'chang'di'jiu,3
r ri,12;ruo,12;ren,107;ran,48;rong,97;reng,16;rao,35;rang,29;rui,42;ru,95;rou,32;run,13;ruan,17;re,16
q qian,190;qi,333;qun,19;que,54;qia,23;qing,138;qiao,133;qie,45;qin,93;quan,103;qiu,99;qu,156;qiong,33;qiang,82
p pai,51;pao,49;po,74;pie,10;pianpang,22;pen,17;pi,162;pan,86;pin,61;ping,78;pian,53;pou,10;piao,45;peng,109;pei,64;pa,53;pu,116;pang,42
hu'n'sh hu'nan'sheng,7
g'kun gao'kun,3
zh'guo'guang zheng'guo'guang,4
g'kuo gai'kuo,7;guang'kuo,8
nian'ye'f nian'ye'fan,5
zou't'f zou'tao'fen,3
z za,24;zeng,35;zu,75;zang,30;zuo,79;zong,57;zi,171;zei,6;zao,95;zai,72;zui,38;zan,35;zun,25;ze,48;zou,34;zuan,20;zen,11
y yuan,200;yo,4;yue,81;yin,173;ying,228;yang,175;you,240;ya,149;yun,130;ye,141;yao,153;yu,502;yan,364;yi,573;yong,135
x xuan,135;xin,94;xie,211;xing,132;xi,359;xue,50;xiu,93;xiao,172;xian,277;xia,105;xiang,202;xiong,58;xu,185;xun,158
yu'sh'shi yu'shu'shi,3
h'shou'lv hui'shou'lv,5
z'l'ke zuo'li'ke,4
l'hai'kong lu'hai'kong,4
m'guang'l meng'guang'lu,3;mao'guang'lie,3
ping'j'zh'yi ping'jun'zhu'yi,4;ping'jin'zhan'yi,3
bo'zh'shi bo'zhou'shi,3
feng'cheng'sh feng'cheng'shi,4
z'l'ku zi'liao'ku,4
liao'gui'l liao'gui'lin,3
't'y'p't tang'yi'pao'tan,3
ha'l'ning ha'luo'ning,3
lao'd'nan lao'da'nan,5
b'ji'quan bei'ji'quan,3
c'gou'tuan cai'gou'tuan,4
fen'm'bie'l fen'men'bie'lei,4
l'j'wei li'jia'wei,3;li'jing'wei,3
h'y'y hei'ya'ya,4;huang'yong'yu,4;han'yu'yan,4;hang'yun'ye,4;hong'yan'yan,3;hu'yao'yu,3
n'zh'bei'zhan nan'zheng'bei'zhan,3
j'quan ju'quan,4;jia'quan,8;jian'quan,9;jiu'quan,5;ji'quan,3;jun'quan,3;jiang'quan,3;jing'quan,3
j'yin'shi jiang'yin'shi,4
h'y'w huo'yao'wei,4;hua'yi'wei,4;hou'yao'wen,3
h'y'x hai'yuan'xian,3;han'yuan'xian,4;heng'yang'xian,3;huang'yuan'xian,3;heng'yuan'xiang,3;huai'yuan'xian,3;hang'ye'xing,5;hua'yuan'xian,3;he'yang'xian,3
h'y'q han'yang'qu,3;huai'yin'qu,6
wang'b'x wang'bei'xing,3;wang'bi'xue,3;wang'bo'xiang,4
ji'ta'l ji'ta'lian,3
h'y't he'yi'ting,5;hui'yi'ting,4;huo'yao'tong,3
mo'fan'x mo'fan'xian,3
h'y'm huo'yi'miao,3;hou'yi'min,3
h'wen heng'wen,4;huan'wen,3;han'wen,7;hua'wen,10;huo'wen,3
wang'b'q wang'bing'qian,3;wang'bao'quan,5
h'y'p hu'yue'ping,3;huang'yan'pei,4
h'y'h huan'yi'huan,3;he'ye'hui,4;huang'ying'hao,3
h'y'f hui'yi'fei,3;hai'yang'fa,4;he'ya'fei,5;hou'yi'fan,5;hun'yin'fa,5
tao'j'h tao'jin'hu,3
h'y'l hu'yang'lin,3;huai'yi'lun,4;hui'yi'lu,5;hu'you'lin,3;huo'yun'liang,4;hu'yan'lin,3;hao'you'liang,3;han'yang'liang,4;he'yue'lan,4
a'dai ai'dai,6
h'y'k hui'yuan'ka,4;hua'yuan'kou,4;he'yi'kan,3
wen'sheng'ch wen'sheng'chang,3
h'y'j hai'yang'ju,5;he'ya'jun,3;huang'yang'jie,4;hong'yan'ji,3
bao'w'q bao'wei'quan,3
h'wei han'wei,12;hua'wei,12;ha'wei,3;huan'wei,11;hui'wei,5;he'wei,11;hong'wei,7;hou'wei,5;hu'wei,14;huang'wei,3
a'dan an'dan,8
t'liao tiao'liao,3;tu'liao,4;tang'liao,4;tong'liao,4
t'lian tai'lian,5;tian'lian,4;tie'lian,3;ti'lian,6
h'y'd huo'ying'dong,3;hua'yan'dan,3;hu'ya'dan,3;hong'yun'dui,3;ha'yi'da,3;hong'yuan'dui,4;hu'ya'dong,3
h'y'c huan'ying'ci,6;hong'yan'cun,3;hou'yi'cun,3
h'y'b hu'yao'bang,4;huang'ye'bin,3;huang'yu'bin,4
a'dao ai'dao,6
sh'zh'tou shou'zhi'tou,4
tao'j'x tao'jiang'xian,3
'p'b'sh peng'bo'she,3
wu'y'mei wu'yan'mei,3
gou'p'zh gou'piao'zhe,3
bao'w'y bao'wu'yuan,3
's'j'b'e sang'ji'ba'er,3
'zh'zh'w'y zheng'zhi'wei'yuan,6
sh'pan'chu shen'pan'chu,3
huan'b'ting huan'bao'ting,5
m'rui min'rui,6
y'er'ch yi'er'chun,3;ying'er'che,3
bao'w'b bao'wei'bu,3
x'hao'dan xin'hao'dan,3
du'w'juan du'wen'juan,3
q'di'g qin'di'guo,3
'c'l'ch cai'liao'chang,3
x'w'jiang xin'wen'jiang,4
zhang'chao'y zhang'chao'yang,3
y'wei'w yi'wei'wei,3;yan'wei'wen,3
bao'g'ting bao'gao'ting,4
jing't'h jing'tan'hao,3
h'pi'jie he'pi'jie,3
l'bing'kun lin'bing'kun,3
j'lou jiu'lou,4;jiao'lou,3;jian'lou,6
jing't'l jing'tuan'lian,3;jing'tai'lan,4
y'wei'l yu'wei'liang,3
y'wei'm yin'wei'min,5;yuan'wei'min,3
x'zi'z xi'zi'zi,4
j'hai'xian jing'hai'xian,3
j'wei'ji'y ju'wei'ji'you,3
gong'xian'l gong'xian'lv,7
'w'c'x'sh wu'cong'xia'shou,3
shi'd'fu shi'da'fu,4
x'zi't xie'zi'tai,3
jing't'x jing'ti'xing,3;jing'ti'xue,3
j'ji'chang jing'ji'chang,4
lai'l'wang'w lai'lai'wang'wang,4
gu'j'f gu'jian'fen,3
ch'bao'di cheng'bao'di,5
gong'xian'd gong'xian'du,3
dong'shan'x dong'shan'xian,3;dong'shan'xiang,3
luo'h luo'hu,12;luo'hua,3;luo'he,4;luo'hou,8
luo'g luo'ge,5;luo'gu,5;luo'gong,3;luo'gan,5
d'q'xian de'qin'xian,4;de'qing'xian,7
luo'f luo'fu,10;luo'fang,3
su'k'lei su'ke'lei,3
ling'w'sh ling'wu'shi,4
'y'sh'q'j yin'shi'qi'ju,3
luo'd luo'dan,3;luo'di,6;luo'du,3
luo'b luo'bi,4;luo'bu,4;luo'bai,4;luo'ben,3;luo'bang,5;luo'bo,6
fu'zhi'x fu'zhi'xing,3
luo'p luo'pan,4;luo'ping,3
'sh'x'w'b shun'xi'wan'bian,4
luo'm luo'mu,12;luo'meng,3;luo'ma,14;luo'mou,3;luo'mo,4
luo'l luo'lu,5;luo'lie,4;luo'lin,7;luo'lan,3;luo'lei,5
luo'k luo'kong,5;luo'kuan,4;luo'kuang,4
tai'w'guo tai'wang'guo,3
luo'j luo'ji,7;luo'jie,3;luo'jiang,3;luo'jiao,4
luo'w luo'wen,7;luo'wu,5;luo'wang,4;luo'wo,3
'sh'z'l'k shi'zi'lu'kou,5
luo'x luo'xiao,3;luo'xia,6;luo'xuan,9
fu'zhi'p fu'zhi'pin,4
gu'chao'h gu'chao'hao,4
luo's luo'sang,5;luo'song,3;luo'su,3;luo'si,11
luo't luo'tuo,5;luo'ti,3;luo'tian,3
luo'q luo'qiang,3;luo'qiu,3;luo'qi,3
zhou'biao'l zhou'biao'liang,3
luo'r luo'ru,5;luo'ri,4
g'kou gui'kou,5;gai'kou,3;guan'kou,6;gang'kou,8
fu'zhi'h fu'zhi'huan,3
'r'zh'w'sh ri'zhen'wan'shan,4
fu'zhi'j fu'zhi'jian,3
han'yu'y han'yu'yan,4
j'ju'feng jiang'ju'feng,4
lao'ban'n lao'ban'niang,3
luo'y luo'yang,6;luo'yan,3;luo'yong,3;luo'ye,5
n'dong nuan'dong,5;nai'dong,3;neng'dong,5;niu'dong,3;ning'dong,9;nan'dong,4;nuo'dong,4
luo'z luo'zi,7;luo'zuo,4
yan'wai'zh'y yan'wai'zhi'yi,3
n'tan'zi na'tan'zi,3
gong'y'jin gong'yi'jin,5
yang'sh'kun yang'shang'kun,5
zhen'd'sh zhen'duan'shu,3
'q'g'g'sh'l quan'guo'gong'shang'lian,6
tian'zh tian'zhu,6;tian'zhen,5;tian'zhi,10;tian'zhong,4
gong'y'jie gong'ye'jie,3
ya'suo'j ya'suo'ji,4
t'b'x tai'bei'xian,3;tong'bai'xian,3;tong'bu'xing,3
cang'xi'x cang'xi'xian,3
lang'sh lang'sheng,4
dai'li'f dai'li'fei,3
w'seng wu'seng,3
c'r'duo'j cai'ren'duo'jia,3;ci'ren'duo'ji,3
dai'li'h dai'li'hang,3
't'm'x tou'ming'xing,3
t'xian'dui tan'xian'dui,4
x'che'd xing'che'dao,3
x'zi'b xiao'zi'bei,3
d'sh'chen diao'shou'chen,3
bao'ta'sh bao'ta'shan,4
'sh'a'r'y she'an'ren'yuan,5
sh'san'da shi'san'da,4
'l'k'sh'k lu'ka'shen'ke,4
xiao'ch'tan xiao'chi'tan,3
hu'yang'l hu'yang'lin,3
d'bie'shan da'bie'shan,5
li'ch'yun li'chang'yun,5
s'sh'jiu si'shi'jiu,3;san'shi'jiu,3
'y's'h'f yan'si'he'feng,3
mian'x'wei mian'xian'wei,3
you'yong'd you'yong'dui,5
j'long jin'long,4;jiao'long,5;ji'long,4;jiu'long,5;ju'long,10
fa'l'sao fa'lao'sao,4
you'yong'g you'yong'guan,5
w'nai'x wang'nai'xue,3
y'y'gan you'yue'gan,4
xia'h'feng xia'hai'feng,3
zh'jian'pai zhong'jian'pai,3
't'h'zh tuo'huang'zhe,3
zi'l'shi zi'liao'shi,3
zheng'ch'ji zheng'chu'ji,4
shang'p'x shang'pin'xing,3
g'n'hao gao'neng'hao,5
shang'p'l shang'pin'lv,3;shang'pin'liang,5
zh'j'huan zhang'jia'huan,3
di'y'bai'y'shi'san di'yi'bai'yi'shi'san,3
sh'j'qin shi'jun'qin,3
yin'x yin'xiao,3;yin'xian,6;yin'xun,3;yin'xu,4;yin'xing,19;yin'xiang,29;yin'xin,6;yin'xi,3;yin'xie,4
a'cun an'cun,4
yin'w yin'wen,3;yin'wei,10
't'm'k tong'ming'kang,3
't'm'd tou'ming'du,7
yin't yin'tan,3;yin'tuan,4;yin'tong,3;yin'tui,3;yin'tian,3
'q'zh'g'g qi'zhua'gong'guan,6
yin's yin'song,5;yin'sen,3;yin'se,8;yin'su,12;yin'si,6
't'm'e tai'mi'er,4
't'm'f tian'ma'fan,4
yin'r yin'ren,4;yin'ran,9;yin'ru,7;yin'rou,3
't'm'g tong'meng'guo,3
yin'q yin'qie,6;yin'qiao,3;yin'qi,16;yin'qing,15;yin'qin,3
sh'tie'sh shi'tie'sheng,4
yin'p yin'pin,8;yin'pian,4;yin'pai,6
chang'xiao'sh chang'xiao'shu,5
yin'n yin'ni,13
't'm's tuo'ma'si,4
yin'm yin'mo,3;yin'man,6;yin'mou,5;yin'mu,6;yin'miao,3;yin'mi,4;yin'mai,5
yin'l yin'li,7;yin'lu,5;yin'liu,4;yin'leng,3;yin'lv,3;yin'liao,6;yin'lai,7;yin'liang,6
zhou't'yu zhou'ting'yu,3
xing'dao'sh xing'dao'shu,3
yin'j yin'ji,9;yin'ju,3;yin'jian,3;yin'jin,9;yin'jie,3;yin'jiu,5;yin'jiang,4
guo'yong'h guo'yong'huai,3
tian'sh tian'shui,8;tian'shen,3;tian'shang,6;tian'shu,13;tian'shan,6;tian'shi,12;tian'sheng,5
liang'w'fa liang'wei'fa,3
lang'zh lang'zhong,3;lang'zheng,3
r'guan'x rong'guan'xiu,3
n'xiang'xian nei'xiang'xian,3;ning'xiang'xian,4
't'm'b tiao'mao'bing,3
h'du'q hua'du'qu,3
t'zh'xing tiao'zhan'xing,5;ti'zhi'xing,6
guang'l'y guang'lian'yan,3
y'shi'yi'lai you'shi'yi'lai,6
yin'y yin'yu,17;yin'yuan,9;yin'yun,11;yin'yin,14;yin'yi,3;yin'yang,5;yin'you,9;yin'yue,12;yin'yan,6;yin'ying,6;yin'yong,16
mei'ch mei'chang,8;mei'chen,3;mei'cheng,7;mei'chou,4
yin'z yin'zi,17;yin'zuo,3
xu'zh'feng xu'zhi'feng,4
jin'duo'y jin'duo'yin,4
jia'sh'zheng jia'shi'zheng,5
qin'b'qu qin'bei'qu,3
guang'l'f guang'li'fang,3
j'zhuang'xiang ji'zhuang'xiang,7
t'j'shou tu'ji'shou,3
ju't'hua ju'ti'hua,5
zhi'q'dian zhi'qin'dian,4
zuo'yong'l zuo'yong'li,3
f'y'xian fu'yuan'xian,6;feng'yang'xian,4;fu'yu'xian,6
j'luo jing'luo,3;jun'luo,3;jiao'luo,6;ju'luo,4;jiang'luo,6;ji'luo,4
j'lun jia'lun,4;jie'lun,7;ju'lun,5
kang'yi'zh kang'yi'zhe,4
x'liao xiao'liao,3;xiang'liao,4;xian'liao,4
x'lian xiang'lian,16;xun'lian,9;xue'lian,9;xiao'lian,6;xia'lian,4;xiu'lian,4;xin'lian,3;xi'lian,3
yan'j'hua yan'jian'hua,3
z'l'sh zong'ling'shi,5;zi'liu'shan,3;zi'liao'shi,3;zi'lai'shui,7
'w'w'b'zh'f wei'wu'bian'zheng'fa,5
yan'j'hui yan'jiu'hui,6;yan'jiang'hui,3
y'zhi'bu'j yong'zhi'bu'jie,4
yan'wai'zhi'y yan'wai'zhi'yi,3
f'su'l fei'su'liao,4
l'g'song liu'guo'song,3
j'lue jian'lue,3;jie'lue,3
m'sha'a mou'sha'an,3
zhi'zh'dang zhi'zheng'dang,7
t'tong tong'tong,8;tie'tong,6;tou'tong,5;teng'tong,6;ting'tong,3
yi'w'kan yi'wo'kan,3
'o'g't ou'gong'ti,3
'o'g'q ou'guang'quan,3
y'nan'sheng yun'nan'sheng,7
ch'ran'xing chuan'ran'xing,5
f'wu'tuan fu'wu'tuan,5
xiao'dao'zhong'y xiao'dao'zhong'yu,3
ha'mi'd ha'mi'de,3
l'zhi'feng liu'zhi'feng,3
'o'g'y ou'guang'yuan,3
g'l'zhan guan'li'zhan,5
x'ch'yuan xuan'chuan'yuan,5
guo'sh'q guo'shi'qiang,3;guo'shu'qing,3
d'z'yuan'j dian'zi'yuan'jian,3
di'qi'sh'jiu di'qi'shi'jiu,4
d'ba'sh'san di'ba'shi'san,4
g'l'ling gu'ling'ling,4
x'x'fa xian'xue'fa,3
'h'd'x'h hei'deng'xia'huo,3
liang'yu'sh liang'yu'sheng,3
b'ye'sheng bi'ye'sheng,8
'h'z'y'l he'zuo'yi'liao,7
'h'z'y'q hen'zao'yi'qian,3
she'ch'p she'chi'pin,6
xing'ch'dao xing'che'dao,3
w'shi'chang wang'shi'chang,3
'h'd'x'g hao'da'xi'gong,4
zha'y'b zha'yao'bao,3
'h'd'x'b han'dan'xue'bu,3
f'dai'm fan'dai'ming,3
sh'hu'xi shen'hu'xi,3
g'm's ge'mai'si,3;ge'mei'si,3
g'm'y gu'ming'yuan,3;gan'mao'yao,3;gong'ming'yun,6;guo'ming'yi,7
f'xian'jin feng'xian'jin,3
wen'x'guan wen'xue'guan,4
li'deng'h li'deng'hui,3;li'deng'hai,4
g'm'x guo'min'xing,6;ge'ming'xing,5;gao'mei'xiu,3;gui'mo'xing,3
lue'd'xing lue'duo'xing,3
q'yang'sh qin'yang'shi,3
g'm'l guan'mu'lin,3;gou'mai'li,5
b'j'bai ba'jiu'bai,3
g'm'j guo'min'jun,3;ge'ming'jia,6;ge'ming'jun,5
h'gong'd ha'gong'da,3
ju'w'ji'you ju'wei'ji'you,3
xuan'ch'shi xuan'cheng'shi,4
'y's'j'sh you'se'jin'shu,6
g'm'd guo'min'dang,7;ge'ming'dang,5;gong'ming'dang,4
yi'zh'y'xi yi'zhao'yi'xi,5
you'yi'y you'yi'yu,5
g'm'c guan'mu'cun,3;guan'mu'cong,3
g'm'h gui'mo'hua,7;ge'ming'hua,5
jin'dai'sh jin'dai'shi,5
lu'gui'sh lu'gui'shan,4
x'x'di xiao'xiong'di,4
you'yi's you'yi'sai,4;you'yi'si,6
you'yi't you'yi'ting,3
c't'kai cui'tian'kai,5
x'x'de xiao'xiao'de,6;xi'xi'de,3
guo'sh'j guo'shui'ju,5
you'yi'l you'yi'lu,3
d'feng'sh da'feng'shi,3;dian'feng'shan,4;deng'feng'shi,4
sun'j'zh sun'jia'zheng,5
tai'ji'l tai'ji'ling,3
t'zhou'shi teng'zhou'shi,3;tai'zhou'shi,9
'j'w'zh jiao'wu'zhang,3
zh'jing'yan zhang'jing'yan,3
tai'ji'j tai'ji'jian,3
'n'm'l'm ni'ma'la'mu,4
chen'wen'y chen'wen'yuan,3
b'bing'shi bu'bing'shi,3
tai'ji'q tai'ji'quan,5
wen's'wei'wen wen'suo'wei'wen,3
f'cheng'g fang'cheng'gang,5
t'liao'shi tong'liao'shi,4
t'b'h tong'bao'hui,4;tuan'bai'hui,4
x'x'bu xin'xi'bu,3
yi'y'y'xing yi'yan'yi'xing,5
zh'y'qing zhan'you'qing,3
s'si'lv'lv si'si'lv'lv,3
zh'y'gong'shu zhuan'yuan'gong'shu,4
nei'you'wai'h nei'you'wai'huan,4
suo'm'l suo'ma'li,7;suo'ma'lei,4
j'sh'bing jing'shen'bing,5
an'm'shi an'mo'shi,3
